Lon Lat Mag Depth Year Month Day agrid-cell-no. distances(km)_to-neighbor:1 2 3 4 5 6 7 8 9 10 
 -85.71  24.13 3.58   15.00 1980 1 10 162432  132.7  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0 
 -67.95  48.77 3.46    0.00 1980 4 3 24043   44.1   65.0   75.1  142.5  149.6  173.9  173.7  179.0  183.3  186.0 
 -81.64  49.64 3.95   18.00 1980 4 13 19418   15.2  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0 
-112.34  48.79 3.61    5.00 1980 4 14 23599   28.1   29.0   30.5   33.1   43.9   47.0   52.5   61.3   65.9   81.3 
 -74.55  44.89 3.55    0.00 1980 5 23 45855   40.3   53.3   52.8   67.2   78.8   82.0   83.0   91.8   92.2   92.4 
 -75.23  43.56 3.74    0.00 1980 6 6 53142   88.6   89.8  118.6  118.4  157.4  163.9  178.8  186.8  194.4  200.0 
 -83.91  38.17 5.00   12.00 1980 7 27 83349    4.2  104.8  141.6  195.9  200.0  200.0  200.0  200.0  200.0  200.0 
 -67.78  41.40 3.45    0.00 1980 8 25 65558  177.4  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0 
 -89.43  36.17 3.48    5.00 1980 12 2 94514    3.0    4.3   27.3   35.4   45.2   50.9   53.5   55.8   56.2   60.7 
-104.96  39.91 4.18    8.00 1981 4 2 73601   70.1  158.4  176.0  178.0  184.7  200.0  200.0  200.0  200.0  200.0 
 -89.39  38.87 3.48    7.00 1981 4 8 79367   19.3  125.6  130.4  137.9  152.4  157.9  168.4  171.8  180.2  190.5 
 -65.70  45.93 3.55   18.00 1981 4 13 40334  136.1  137.4  137.9  137.4  137.4  137.4  140.9  169.9  200.0  200.0 
 -89.18  36.03 3.68   11.00 1981 8 7 95638   27.3   27.3   28.0   52.9   67.3   70.1   74.0   76.9   78.3   82.8 
 -72.56  41.13 4.04    0.00 1981 10 21 67193  106.5  113.9  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0 
-102.49  31.18 3.58    5.00 1982 1 4 122433  140.7  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0 
 -66.66  46.98 5.43   10.00 1982 1 9 34153    5.1    5.1    5.1    6.3    5.4    5.1  137.9  139.3  161.4  200.0 
 -71.60  43.50 4.18    8.00 1982 1 19 53739    9.3   76.7   91.2  145.9  199.2  198.3  200.0  200.0  200.0  200.0 
 -92.21  35.17 4.34    6.00 1982 1 21 100096    3.0   13.0   85.4   89.1  108.6  143.0  166.4  173.0  177.4  181.7 
-109.70  44.64 3.46   11.00 1982 5 9 47187  133.1  134.2  143.1  155.2  161.8  166.9  186.1  200.0  200.0  200.0 
 -78.61  46.66 3.46    0.00 1982 8 13 35717   22.9   29.6  139.3  139.4  150.0  153.5  161.0  174.6  188.8  196.0 
-105.38  49.06 3.98   18.00 1982 8 17 21985  150.2  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0  200.0 
-102.57  36.10 3.58    5.00 1982 10 14 94943   84.5  104.3  104.3  168.6  172.4  200.0  200.0  200.0  200.0  200.0 
 -97.85  43.01 3.98    5.00 1982 11 15 56282   88.3  100.5  183.1  200.0  200.0  200.0  200.0  200.0  200.0  200.0 
 -67.06  49.11 3.56    0.00 1983 1 17 22368   28.9   39.1   73.5   75.1   77.1  124.7  164.5  200.0  200.0  200.0 
 -92.16  35.28 3.58    0.00 1983 1 19 99535   10.4   13.0   78.6   87.2  104.7  138.5  158.7  160.0  164.7  169.1 
-105.73  42.23 3.92    5.00 1983 2 13 60691   15.4   23.9   27.4   75.4   78.7   82.7   95.4   99.0  100.7  101.3 
-112.37  48.54 3.54   14.00 1983 2 16 25281    3.0   28.1   32.6   54.2   56.4   68.7   74.8   76.7   85.4   90.7 
 -99.41  44.21 3.78    5.00 1983 3 4 49534   88.1  160.9  183.1  200.0  200.0  200.0  200.0  200.0  200.0  200.0 
 -66.60  47.00 3.68    0.00 1983 5 13 34154    3.0    3.0    3.0    3.0    3.5    5.1  134.9  137.4  165.9  200.0 
 -89.57  38.77 3.98    0.00 1983 5 15 79926   19.3  138.6  140.6  145.4  150.1  152.8  160.2  178.9  179.5  188.5 
